,name,term start
0,David Ben-Gurion,14 May 1948
1,Moshe Sharett,26 January 1954
2,David Ben-Gurion,3 November 1955
3,Levi Eshkol,26 June 1963
4,Yigal Allon,26 February 1969
5,Golda Meir,17 March 1969
6,Yitzhak Rabin,3 June 1974
7,Menachem Begin,20 June 1977
8,Yitzhak Shamir,10 October 1983
9,Shimon Peres,13 September 1984
10,Yitzhak Shamir,20 October 1986
11,Yitzhak Rabin,13 July 1992
12,Shimon Peres,4 November 1995
13,Benjamin Netanyahu,18 June 1996
14,Ehud Barak,6 July 1999
15,Ariel Sharon,7 March 2001
16,Ehud Olmert,4 January 2006
17,Benjamin Netanyahu,31 March 2009
